,业绩比较基准,基准对应的基金数目
504,中证服务业指数收益率*85%+中债总财富(总值)指数收益率*15%,1
518,中证浙江100指数收益率,1
505,中证杭州湾区指数收益率,1
507,中证民营企业综合指数*80%+中债综合指数*20%,1
508,中证沪港深300指数,1
510,中证沪港深互联网指数,1
511,中证沪港深互联网指数*80%+中证综合债指数收益率*20%,1
514,中证沪港深粤港澳大湾区发展主题指数,1
517,中证沪港深高股息精选指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
551,中证环保产业指数收益率*80%+中债综合指数收益率*20%,1
552,中证环保产业指数收益率*80%+中债综合财富指数收益率*20%,1
553,中证环保产业指数收益率*80%+中证全债指数收益率*20%,1
604,中证红利低波动指数收益率,1
594,中证移动互联网指数收益率*80%+中债综合指数收益率*20%,1
595,中证移动互联网指数收益率*95%+商业银行活期存款利率(税后)*5%,1
596,中证移动互联网指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
598,中证等权重90指数收益率*95%+商业银行人民币活期存款利率(税后)*5%,1
599,中证粤港澳大湾区发展主题指数收益率,1
601,中证精工制造指数收益率*90%+商业银行活期存款利率(税前)*10%,1
602,中证红利低波动100指数收益率,1
613,中证红利指数收益率*95%+银行同业存款利率*5%,1
554,中证环保产业指数收益率*80%+中证综合债指数收益率*20%,1
614,中证红利潜力指数收益率,1
616,中证细分化工产业主题指数收益率,1
617,中证细分医药产业主题指数收益率,1
619,中证细分有色金属产业主题指数收益率,1
621,中证能源指数,1
622,中证腾讯济安价值100A股指数收益率*95%+银行活期存款利率(税后)*5%,1
624,中证装备产业指数收益率*80%+上证国债指数收益率*20%,1
593,中证移动互联网指数*80%+中债综合指数*20%,1
589,中证科技传媒通信150指数收益率*95%+银行活期存款利率(税后)*5%,1
588,中证科技传媒通信150指数,1
586,中证科技50策略指数收益率,1
555,中证环保产业指数收益率*90%+上证国债指数收益率*10%,1
558,中证环保指数*90%+同业存款利率(税后)*10%,1
560,中证环境治理指数收益率*95%+银行活期存款利率(税后)*5%,1
561,中证生物医药指数收益率,1
565,中证申万一带一路主题指数收益率*95%+银行活期存款利率(税后)*5%,1
566,中证申万医药生物指数收益率*95%+银行同业存款利率*5%,1
567,中证申万有色金属指数收益率,1
571,中证申万证券行业指数收益率*95%+银行同业存款利率*5%,1
572,中证申万证券行业指数收益率*95%+银行活期存款利率(税后)*5%,1
574,中证电子指数收益率,1
576,中证白酒指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
580,中证社会发展安全产业主题指数收益率*95%+人民币活期存款利率(税后)*5%,1
581,中证福建50指数收益率,1
582,中证科技100指数收益率,1
585,中证科技50指数收益率,1
487,中证新能源指数收益率*75%+中证全债指数收益率*15%+恒生能源行业指数*10%,1
484,中证新能源指数收益率,1
482,中证新兴科技100策略指数收益率,1
377,中证内地消费主题指数收益率*80%+中证全债指数收益率*10%+中证港股通主要消费综合指数收益率*5%+中证港股通可选消费综合指数收益率*5%,1
361,中证养老产业指数收益率*80%+中债综合财富指数收益率*20%,1
362,中证养老产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
365,中证内地低碳经济主题指数收益率*80%+中证综合债券指数收益率*20%,1
366,中证内地新能源指数收益率*90%+上证国债指数收益率*10%,1
367,中证内地消费主题指数*85%+中证综合债券指数*15%,1
368,中证内地消费主题指数收益率*50%+中证香港300消费指数收益率*35%+中债总指数收益率*15%,1
370,中证内地消费主题指数收益率*55%+人民币计价的恒生指数收益率*30%+中证全债指数收益率*15%,1
379,中证内地消费主题指数收益率*85%+中债总指数收益率*15%,1
396,中证军工龙头指数收益率,1
380,中证内地消费主题指数收益率*85%+中证全债指数收益率*15%,1
382,中证内地消费主题指数收益率*85%+中证综合债指数收益率*15%,1
384,中证内地消费主题指数收益率*95%+中债总指数收益率*5%,1
385,中证内地资源主题指数*95%+活期存款利率(税后)*5%,1
388,中证内地金融主题指数收益率*60%+中证香港300金融服务指数收益率*25%+中债总指数收益率*15%,1
389,中证军工价格指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
393,中证军工指数收益率*95%+同期银行活期存款利率(税后)*5%,1
359,中证全指金融地产指数,1
357,中证全指通信设备指数收益率,1
355,中证全指软件指数收益率,1
350,中证全指证券公司指数收益率*95%+商业银行活期存款利率(税后)*5%,1
305,中证传媒指数收益率*95%+商业银行活期存款利率(税后)*5%,1
308,中证体育产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
309,中证信息安全主题指数收益率*95%+金融同业存款利率*5%,1
310,中证信息技术指数收益率*95%+商业银行活期存款利率(税后)*5%,1
313,中证健康产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
314,中证先进制造100策略指数收益率,1
321,中证全指信息技术指数,1
324,中证全指医药卫生指数,1
325,中证全指医药卫生指数收益率*80%+中证综合债指数收益率*20%,1
327,中证全指医药卫生指数收益率*90%+商业银行活期存款利率(税后)*10%,1
329,中证全指半导体产品与设备指数收益率,1
331,中证全指原材料指数,1
333,中证全指可选消费指数,1
336,中证全指家用电器指数收益率,1
344,中证全指能源指数,1
394,中证军工指数收益率*95%+银行同业存款利率*5%,1
397,中证农业主题指数,1
481,中证新兴产业指数收益率*95%+银行同业存款利率*5%,1
459,中证国防指数收益率*95%+商业银行活期存款利率(税后)*5%,1
449,中证国信价值指数收益率,1
451,中证国有企业改革指数*80%+中证全债指数*20%,1
453,中证国有企业改革指数收益率*95%+同期银行活期存款利率(税后)*5%,1
454,中证国有企业改革指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
456,中证国有企业综合指数*80%+中债综合指数*20%,1
457,中证国有企业综合指数收益率*80%+中债综合指数收益率*20%,1
458,中证国防指数收益率,1
460,中证基建工程指数收益率*95%+金融同业存款利率*5%,1
398,中证农业主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
462,中证大农业指数收益率*80%+中证综合债指数收益率*20%,1
463,中证大农业指数收益率*95%+商业银行活期存款利率(税后)*5%,1
464,中证大宗商品股票指数收益率*95%+商业银行活期存款利率(税后)*5%,1
471,中证娱乐主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
473,中证工业4.0指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
475,中证影视主题指数收益率,1
480,中证新兴产业指数收益率*95%+中国债券总指数收益率*5%,1
448,中证国企改革指数收益率*80%+中证全债指数收益率*20%,1
442,中证四川国企改革指数收益率,1
441,中证可持续发展100指数收益率*95%+银行活期存款利率(税后)*5%,1
439,中证南方小康产业指数,1
403,中证医疗指数收益率*95%+同期银行活期存款利率(税后)*5%,1
408,中证医药50指数收益率,1
409,中证医药主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
410,中证医药健康100策略指数收益率,1
411,中证医药卫生指数,1
412,中证医药卫生指数*80%+上证国债指数*20%,1
413,中证医药卫生指数*80%+中证全债指数*20%,1
414,中证医药卫生指数收益率,1
420,中证医药卫生指数收益率*70%+中债综合财富指数收益率*20%+恒生医疗保健指数收益率(经汇率调整)*10%,1
422,中证医药卫生指数收益率*75%+中债综合指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,1
423,中证医药卫生指数收益率*75%+中证综合债指数收益率*15%+恒生医疗保健行业指数收益率*10%,1
427,中证医药卫生指数收益率*80%+中债综合全价(总值)指数收益率*20%,1
430,中证医药卫生指数收益率*85%+中证综合债券指数收益率*15%,1
432,中证医药卫生指数收益率*95%+中国债券总指数收益率*5%,1
437,中证医药指数收益率*85%+中债综合指数收益率*15%,1
472,中证工业4.0指数*80%+中债综合指数*20%,1
