,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
149,000208.OF,建信双债增强C,债券型基金,混合债券型一级基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
150,000209.OF,信诚新兴产业,混合型基金,偏股混合型基金,中证新兴产业指数收益率*80%+中证综合债指数收益率*20%,中证新兴产业指数收益率,80%,中证综合债指数收益率,20%,nan,,nan,,nan,
151,000210.OF,光大现金宝A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,
152,000211.OF,光大现金宝B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,
153,000212.OF,泰信鑫益A,债券型基金,中长期纯债型基金,中国人民银行公布的一年期定期存款基准利率(税后)+0.5%,中国人民银行公布的一年期定期存款基准利率(税后),,0.5%,,nan,,nan,,nan,
154,000213.OF,泰信鑫益C,债券型基金,中长期纯债型基金,中国人民银行公布的一年期定期存款基准利率(税后)+0.5%,中国人民银行公布的一年期定期存款基准利率(税后),,0.5%,,nan,,nan,,nan,
155,000214.OF,广发成长优选,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%,nan,,nan,,nan,
156,000215.OF,广发趋势优选A,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%,nan,,nan,,nan,
157,000216.OF,华安易富黄金ETF联接A,另类投资基金,商品型基金,国内黄金现货价格收益率*95%+人民币活期存款利率(税后)*5%,国内黄金现货价格收益率,95%,人民币活期存款利率(税后),5%,nan,,nan,,nan,
158,000217.OF,华安易富黄金ETF联接C,另类投资基金,商品型基金,国内黄金现货价格收益率*95%+人民币活期存款利率(税后)*5%,国内黄金现货价格收益率,95%,人民币活期存款利率(税后),5%,nan,,nan,,nan,
159,000218.OF,国泰黄金ETF联接A,另类投资基金,商品型基金,上海黄金交易所挂盘交易的Au99.99合约收益率*95%+银行活期存款收益率(税后)*5%,上海黄金交易所挂盘交易的Au99.99合约收益率,95%,银行活期存款收益率(税后),5%,nan,,nan,,nan,
160,000219.OF,博时裕益灵活配置,混合型基金,灵活配置型基金,年化收益率7%,年化收益率7%,,nan,,nan,,nan,,nan,
161,000220.OF,富国医疗保健行业A,混合型基金,偏股混合型基金,中证医药卫生指数收益率*80%+中债综合指数收益率*20%,中证医药卫生指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
162,000221.OF,汇添富年年利A,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+1.2%,银行一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
163,000222.OF,汇添富年年利C,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+1.2%,银行一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
164,000227.OF,华安年年红A,债券型基金,中长期纯债型基金,同期一年期定期存款收益率(税后)+1.2%,同期一年期定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
165,000235.OF,诺安稳固收益,债券型基金,中长期纯债型基金,固定业绩基准3.0%,固定业绩基准3.0%,,nan,,nan,,nan,,nan,
166,000236.OF,工银月月薪定期支付A,债券型基金,混合债券型二级基金,三年期银行定期存款收益率(税后)+1.5%,三年期银行定期存款收益率(税后),,1.5%,,nan,,nan,,nan,
167,000239.OF,华安年年盈A,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
168,000240.OF,华安年年盈C,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
169,000241.OF,宝盈核心优势C,混合型基金,灵活配置型基金,沪深300指数*65%+上证国债指数*35%,沪深300指数,65%,上证国债指数,35%,nan,,nan,,nan,
170,000242.OF,景顺长城策略精选,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%,nan,,nan,,nan,
171,000244.OF,天弘稳利A,债券型基金,中长期纯债型基金,一年期银行定期存款利率(税后)*1.4,一年期银行定期存款利率(税后),1.4,nan,,nan,,nan,,nan,
172,000245.OF,天弘稳利B,债券型基金,中长期纯债型基金,一年期银行定期存款利率(税后)*1.4,一年期银行定期存款利率(税后),1.4,nan,,nan,,nan,,nan,
173,000246.OF,博时月月薪,债券型基金,中长期纯债型基金,3年期定期存款利率(税后),3年期定期存款利率(税后),,nan,,nan,,nan,,nan,
174,000248.OF,汇添富中证主要消费ETF联接,股票型基金,被动指数型基金,中证主要消费指数收益率*95%+银行活期存款利率(税后)*5%,中证主要消费指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
175,000251.OF,工银瑞信金融地产A,混合型基金,偏股混合型基金,沪深300金融地产行业指数收益率*80%+上证国债指数收益率*20%,沪深300金融地产行业指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
176,000252.OF,景顺长城景兴信用纯债A,债券型基金,中长期纯债型基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
177,000253.OF,景顺长城景兴信用纯债C,债券型基金,中长期纯债型基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
178,000254.OF,长城增强收益A,债券型基金,中长期纯债型基金,每个封闭期同期对应的一年期定期存款利率(税后)*1.1,每个封闭期同期对应的一年期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,
179,000255.OF,长城增强收益C,债券型基金,中长期纯债型基金,每个封闭期同期对应的一年期定期存款利率(税后)*1.1,每个封闭期同期对应的一年期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,
180,000256.OF,上投摩根红利回报A,混合型基金,偏债混合型基金,中证综合债券指数收益率*60%+沪深300指数收益率*40%,中证综合债券指数收益率,60%,沪深300指数收益率,40%,nan,,nan,,nan,
181,000259.OF,农银汇理区间收益,混合型基金,灵活配置型基金,沪深300指数*S+中证全债指数*(100%-S)其中S值见下表:参照指数(I) 股票类资产比例(S) I<2750         95% 2750≤I<3000 85% 3000≤I<3250 75% 3250≤I<3500 65% 3500≤I<3750 55% 3750≤I<4000 45% 4000≤I<4250 35% 4250≤I<4500 25% 4500≤I<4750 15% 4750≤I<5000 5% 5000≤I 0,沪深300指数,S,中证全债指数,(100%-S)其中S值见下表:参照指数(I) 股票类资产比例(S) I<2750         95% 2750≤I<3000 85% 3000≤I<3250 75% 3250≤I<3500 65% 3500≤I<3750 55% 3750≤I<4000 45% 4000≤I<4250 35% 4250≤I<4500 25% 4500≤I<4750 15% 4750≤I<5000 5% 5000≤I 0,nan,,nan,,nan,
182,000263.OF,工银瑞信信息产业A,混合型基金,偏股混合型基金,中证TMT产业主题指数收益率*80%+上证国债指数收益率*20%,中证TMT产业主题指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
183,000264.OF,博时内需增长灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%,nan,,nan,,nan,
184,000265.OF,易方达恒久添利1年A,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1.2%,一年期银行定期整存整取存款利率(税后),,1.2%,,nan,,nan,,nan,
185,000266.OF,易方达恒久添利1年C,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1.2%,一年期银行定期整存整取存款利率(税后),,1.2%,,nan,,nan,,nan,
186,000267.OF,广发集利一年A,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+0.5%,银行一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,
187,000268.OF,广发集利一年C,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+0.5%,银行一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,
188,000270.OF,建信灵活配置,混合型基金,灵活配置型基金,沪深300指数*55%+中国债券总指数*45%,沪深300指数,55%,中国债券总指数,45%,nan,,nan,,nan,
189,000271.OF,中邮定期开放A,债券型基金,中长期纯债型基金,同期中国人民银行公布的一年期定期存款基准利率(税后)+0.50%,同期中国人民银行公布的一年期定期存款基准利率(税后),,0.50%,,nan,,nan,,nan,
190,000272.OF,中邮定期开放C,债券型基金,中长期纯债型基金,同期中国人民银行公布的一年期定期存款基准利率(税后)+0.50%,同期中国人民银行公布的一年期定期存款基准利率(税后),,0.50%,,nan,,nan,,nan,
191,000273.OF,华润元大安鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*25%+恒生指数收益率*15%,沪深300指数收益率,60%,中债综合指数收益率,25%,恒生指数收益率,15%,nan,,nan,
192,000274.OF,广发亚太中高收益人民币,国际(QDII)基金,国际(QDII)债券型基金,同期人民币三年期定期存款利率(税后),同期人民币三年期定期存款利率(税后),,nan,,nan,,nan,,nan,
193,000275.OF,广发亚太中高收益美元,国际(QDII)基金,国际(QDII)债券型基金,同期人民币三年期定期存款利率(税后),同期人民币三年期定期存款利率(税后),,nan,,nan,,nan,,nan,
194,000277.OF,博时双月薪,债券型基金,中长期纯债型基金,3年期定期存款利率(税后),3年期定期存款利率(税后),,nan,,nan,,nan,,nan,
195,000279.OF,华商红利优选,混合型基金,灵活配置型基金,中证红利指数收益率*55%+上证国债指数收益率*45%,中证红利指数收益率,55%,上证国债指数收益率,45%,nan,,nan,,nan,
196,000286.OF,银华信用季季红A,债券型基金,中长期纯债型基金,中债综合指数(全价),中债综合指数(全价),,nan,,nan,,nan,,nan,
197,000289.OF,鹏华丰泰A,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+0.5%,一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,
198,000290.OF,鹏华全球高收益债人民币,国际(QDII)基金,国际(QDII)债券型基金,人民币计价的富时国际高收益公司债指数(FTSE USD International High Yield Corporate Bond Index in RMB ),人民币计价的富时国际高收益公司债指数(FTSE USD International High Yield Corporate Bond Index in RMB ),,nan,,nan,,nan,,nan,
199,000294.OF,华安生态优先,混合型基金,偏股混合型基金,中证800指数收益率*80%+中国债券总指数收益率*20%,中证800指数收益率,80%,中国债券总指数收益率,20%,nan,,nan,,nan,
200,000295.OF,鹏华丰实A,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+0.5%,一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,
201,000296.OF,鹏华丰实B,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+0.5%,一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,
202,000297.OF,鹏华可转债A,债券型基金,混合债券型二级基金,中证可转换债券指数收益率*60%+中债总指数收益率*30%+沪深300指数收益率*10%,中证可转换债券指数收益率,60%,中债总指数收益率,30%,沪深300指数收益率,10%,nan,,nan,
203,000298.OF,中海纯债A,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
204,000299.OF,中海纯债C,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
205,000300.OF,德邦德利货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
206,000301.OF,德邦德利货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
207,000305.OF,中银中高等级A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
208,000306.OF,天弘弘利,债券型基金,混合债券型二级基金,三年期银行定期存款利率(税后)+1.5%,三年期银行定期存款利率(税后),,1.5%,,nan,,nan,,nan,
209,000307.OF,易方达黄金ETF联接A,另类投资基金,商品型基金,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率*95%+活期存款利率(税后)*5%,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,
210,000308.OF,建信创新中国,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%,nan,,nan,,nan,
211,000309.OF,大摩品质生活精选,股票型基金,普通股票型基金,沪深300指数收益率*85%+标普中国债券指数收益率*15%,沪深300指数收益率,85%,标普中国债券指数收益率,15%,nan,,nan,,nan,
212,000310.OF,安信永利信用A,债券型基金,中长期纯债型基金,1年期银行定期存款基准利率*1.5,1年期银行定期存款基准利率,1.5,nan,,nan,,nan,,nan,
213,000311.OF,景顺长城沪深300增强,股票型基金,增强指数型基金,"沪深300指数收益率*95%+1.5%(指年收益率,评价时按期间折算)",沪深300指数收益率,95%,"1.5%(指年收益率,评价时按期间折算)",,nan,,nan,,nan,
214,000312.OF,华安沪深300量化增强A,股票型基金,增强指数型基金,沪深300指数收益率*95%+同期商业银行活期存款基准利率(税后)*5%,沪深300指数收益率,95%,同期商业银行活期存款基准利率(税后),5%,nan,,nan,,nan,
215,000313.OF,华安沪深300量化增强C,股票型基金,增强指数型基金,沪深300指数收益率*95%+同期商业银行活期存款基准利率(税后)*5%,沪深300指数收益率,95%,同期商业银行活期存款基准利率(税后),5%,nan,,nan,,nan,
216,000314.OF,招商瑞丰A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%,nan,,nan,,nan,
217,000316.OF,中海瑞利六个月定开,债券型基金,中长期纯债型基金,中证全债指数收益率*100%,中证全债指数收益率,100%,nan,,nan,,nan,,nan,
